"","Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"98",2018-03-05,10428.3,10428.7,10323.9,10358.85,199975720,10673.92
"99",2018-03-01,10479.95,10525.5,10447.15,10458.35,181378504,10179.48
"100",2018-02-28,10488.95,10535.5,10461.55,10492.85,294794221,16299.11
"101",2018-02-27,10615.2,10631.65,10537.25,10554.3,193250158,10276.42
"102",2018-02-26,10526.55,10592.95,10520.2,10582.6,NA,NA
"103",2018-02-23,10408.1,10499.1,10396.65,10491.05,217134363,12704.32
"104",2018-02-22,10354.35,10397.55,10340.65,10382.7,323259078,17711.46
"105",2018-02-21,10426,10426.1,10349.6,10397.45,241331542,12996.36
"106",2018-02-20,10391,10429.35,10347.65,10360.4,193464871,9619.95
"107",2018-02-19,10488.9,10489.35,10302.75,10378.4,193087737,9871.36
"108",2018-02-16,10596.2,10612.9,10434.05,10452.3,190043189,10026.71
"109",2018-02-15,10537.9,10618.1,10511.05,10545.5,217090245,11035.38
"110",2018-02-14,10585.75,10590.55,10456.65,10500.9,236329440,12188.94
"111",2018-02-12,10518.2,10555.5,10485.4,10539.75,224114801,11133.78
"112",2018-02-09,10416.5,10480.2,10398.2,10454.95,197502912,10602.15
"113",2018-02-08,10518.5,10637.8,10479.55,10576.85,239407938,12569.23
"114",2018-02-07,10607.2,10614,10446.4,10476.7,258095424,13971.66
"115",2018-02-06,10295.15,10594.15,10276.3,10498.25,274656443,15606.34
"116",2018-02-05,10604.3,10702.75,10586.8,10666.55,247479157,13980.63
"117",2018-02-02,10938.2,10954.95,10736.1,10760.6,291431992,16542.51
"118",2018-01-31,11018.8,11058.5,10979.3,11027.7,253462573,14459.69
"119",2018-01-29,11079.35,11171.55,11075.95,11130.4,249220726,16118.36
"120",2018-01-25,11095.6,11095.6,11009.2,11069.65,340469462,19939.54
"121",2018-01-24,11069.35,11110.1,11046.15,11086,292197072,16915.14
"122",2018-01-23,10997.4,11092.9,10994.55,11083.7,293445774,16423.91
"123",2018-01-19,10829.2,10906.85,10793.9,10894.7,214011963,11792.26
"124",2018-01-17,10702.45,10803,10666.75,10788.55,260488465,14334.26
"125",2018-01-16,10761.5,10762.35,10687.85,10700.45,217468081,12709.44
"126",2018-01-15,10718.5,10782.65,10713.8,10741.55,181262074,11333.11
"127",2018-01-12,10682.55,10690.4,10597.1,10681.25,180592153,11005.12
"128",2018-01-11,10637.05,10664.6,10612.35,10651.2,158630055,9635.01
"129",2018-01-10,10652.05,10655.5,10592.7,10632.2,181900014,9720.65
"130",2018-01-09,10645.1,10659.15,10603.6,10637,NA,NA
"131",2018-01-08,10591.7,10631.2,10588.55,10623.6,NA,NA
"132",2018-01-05,10534.25,10566.1,10520.1,10558.85,186469717,10306.22
"133",2018-01-04,10469.4,10513,10441.45,10504.8,180257392,9561.95
"134",2018-01-03,10482.65,10503.6,10429.55,10443.2,172516859,9541.6
"135",2018-01-02,10477.55,10495.2,10404.65,10442.2,158092430,8665.47
"136",2018-01-01,10531.7,10537.85,10423.1,10435.55,134532090,7546.56
"137",2017-12-29,10492.35,10538.7,10488.65,10530.7,156736221,8943.1
"138",2017-12-26,10512.3,10545.45,10477.95,10531.5,160417384,9043.77
"139",2017-12-22,10457.3,10501.1,10448.25,10493,143119167,8755.32
"140",2017-12-21,10473.95,10473.95,10426.9,10440.3,156646972,9411.2
"141",2017-12-20,10494.4,10494.45,10437.15,10444.2,180597460,11303
"142",2017-12-19,10414.8,10472.2,10406,10463.2,174340665,10982.95
"143",2017-12-18,10263.1,10443.55,10074.8,10388.75,237506982,12921.61
"144",2017-12-15,10345.65,10373.1,10319.65,10333.25,262974703,15106.77
"145",2017-12-14,10229.3,10276.1,10141.55,10252.1,159103960,9549.23
"146",2017-12-13,10236.6,10296.55,10169.85,10192.95,187191964,10070.44
"147",2017-12-12,10324.9,10326.1,10230.2,10240.15,180546894,10380.24
"148",2017-12-11,10310.5,10329.2,10282.05,10322.25,152034656,8453.76
"149",2017-12-08,10198.45,10270.85,10195.25,10265.65,206234019,11468.15
"150",2017-12-07,10063.45,10182.65,10061.9,10166.7,171339022,9910.28
"151",2017-12-06,10088.8,10104.2,10033.35,10044.1,171208366,9598.82
"152",2017-12-05,10118.25,10147.95,10069.1,10118.25,160253042,8749.09
"153",2017-12-04,10175.05,10179.2,10095.7,10127.75,153240126,8458.66
"154",2017-12-01,10263.7,10272.7,10108.55,10121.8,147765528,8518.58
"155",2017-11-30,10332.7,10332.7,10211.25,10226.55,353105240,19005.56
"156",2017-11-29,10376.65,10392.95,10345.9,10361.3,157192930,8852.8
"157",2017-11-28,10387.9,10409.55,10355.2,10370.25,202050866,9979.25
"158",2017-11-27,10361.05,10407.15,10340.2,10399.55,146276512,7551.71
"159",2017-11-24,10366.8,10404.5,10362.25,10389.7,133177324,8197.66
"160",2017-11-23,10358.45,10374.3,10307.3,10348.75,157651842,8789.42
"161",2017-11-22,10350.8,10368.7,10309.55,10342.3,NA,NA
"162",2017-11-21,10329.25,10358.7,10315.05,10326.9,NA,NA
"163",2017-11-20,10287.2,10309.85,10261.5,10298.75,NA,NA
"164",2017-11-17,10324.55,10343.6,10268.05,10283.6,209592893,11023.35
"165",2017-11-16,10152.9,10232.25,10139.2,10214.75,188180035,9995.55
"166",2017-11-15,10171.95,10175.45,10094,10118.05,213836202,11609.18
"167",2017-11-14,10223.4,10248,10175.55,10186.6,314413476,15398.97
"168",2017-11-10,10304.35,10344.95,10254.1,10321.75,287962940,14682.6
"169",2017-11-09,10358.65,10368.45,10266.95,10308.95,NA,NA
"170",2017-11-08,10361.95,10384.25,10285.5,10303.15,282950322,14789.39
"171",2017-11-07,10477.15,10485.75,10340.8,10350.15,295830692,16182.46
"172",2017-11-06,10431.75,10490.45,10413.75,10451.8,199559409,10231.76
"173",2017-11-03,10461.55,10461.7,10403.6,10452.5,206101238,10070.83
"174",2017-11-02,10440.5,10453,10412.55,10423.8,207735021,10779.63
"175",2017-11-01,10390.35,10451.65,10383.05,10440.5,268270466,14206.21
"176",2017-10-31,10364.9,10367.7,10323.95,10335.3,239809700,12830.06
"177",2017-10-30,10353.85,10384.5,10344.3,10363.65,244193178,12558.7
"178",2017-10-27,10362.3,10366.15,10311.3,10323.05,322411410,15149.9
"179",2017-10-26,10291.8,10355.65,10271.85,10343.8,443036008,23135.46
"180",2017-10-25,10321.15,10340.55,10240.9,10295.35,612620774,25922.51
"181",2017-10-24,10218.55,10237.75,10182.4,10207.7,223914325,11539.73
"182",2017-10-23,10176.65,10224.15,10124.5,10184.85,224799211,12144.31
"183",2017-10-19,10210.35,10211.95,10123.35,10146.55,31086379,1685.16
"184",2017-10-18,10209.4,10236.45,10175.75,10210.85,262111790,13177.83
"185",2017-10-17,10227.65,10251.85,10212.6,10234.45,201782377,10422.81
"186",2017-10-16,10207.4,10242.95,10175.1,10230.85,209327364,11774.68
"187",2017-10-13,10123.7,10191.9,10120.1,10167.45,237230047,12379.8
"188",2017-10-12,10011.2,10104.45,9977.1,10096.4,207106672,10579.8
"189",2017-10-11,10042.6,10067.25,9955.8,9984.8,195593061,10227.9
"190",2017-10-10,10013.7,10034,10002.3,10016.95,153246570,8055.5
"191",2017-10-09,9988.2,10015.75,9959.45,9988.75,148395842,7425.19
"192",2017-10-06,9908.15,9989.35,9906.6,9979.7,201858899,9986.18
"193",2017-10-05,9927,9945.95,9881.85,9888.7,152362417,7823.55
"194",2017-10-04,9884.35,9938.3,9850.65,9914.9,160993982,8790.29
"195",2017-10-03,9893.3,9895.4,9831.05,9859.5,167833406,9698.55
"196",2017-09-29,9814.3,9854,9775.35,9788.6,202350211,11087.11
"197",2017-09-28,9736.4,9789.2,9687.55,9768.95,396874518,18962.4
"198",2017-09-27,9920.6,9921.05,9714.4,9735.75,206305991,10127.39
"199",2017-09-26,9875.25,9891.35,9813,9871.5,196792799,9754.02
"200",2017-09-25,9960.1,9960.5,9816.05,9872.6,228206970,11258.68
"201",2017-09-22,10094.35,10095.05,9952.8,9964.4,233621596,11941.88
"202",2017-09-21,10139.6,10158.9,10058.6,10121.9,197710666,11114.28
"203",2017-09-20,10160.95,10171.05,10134.2,10141.15,205605243,10105.71
"204",2017-09-19,10175.6,10178.95,10129.95,10147.55,193345992,8796.21
"205",2017-09-18,10133.1,10171.7,10131.3,10153.1,160852680,8106.66
"206",2017-09-15,10062.35,10115.15,10043.65,10085.4,274799134,13650.9
"207",2017-09-14,10107.4,10126.5,10070.35,10086.6,232637517,11047.46
"208",2017-09-13,10099.25,10131.95,10063.15,10079.3,221608053,10682.41
"209",2017-09-12,10056.85,10097.55,10028.05,10093.05,188248293,9894.2
"210",2017-09-11,9971.75,10028.65,9968.8,10006.05,178409875,9545.94
"211",2017-09-08,9958.65,9963.6,9913.3,9934.8,168698771,8792.49
"212",2017-09-07,9945.85,9964.85,9917.2,9929.9,194626599,9455.48
"213",2017-09-06,9899.25,9931.55,9882.55,9916.2,153767846,8926.98
"214",2017-09-05,9933.25,9963.1,9901.05,9952.2,143522342,7566.62
"215",2017-09-04,9984.15,9988.4,9861,9912.85,153369495,8069.64
"216",2017-09-01,9937.65,9983.45,9909.85,9974.4,162730656,9314.82
"217",2017-08-31,9905.7,9925.1,9856.95,9917.9,337782004,14619.43
"218",2017-08-30,9859.5,9909.45,9850.8,9884.4,162704136,8008.72
"219",2017-08-29,9886.4,9887.35,9783.75,9796.05,178668444,8469.09
"220",2017-08-28,9907.15,9925.75,9882,9912.8,164493772,9900.06
"221",2017-08-24,9881.2,9881.5,9848.85,9857.05,190398702,10392.63
"222",2017-08-23,9803.05,9857.9,9786.75,9852.5,173815509,9961.13
"223",2017-08-22,9815.75,9828.45,9752.6,9765.55,189267122,9850.89
"224",2017-08-21,9864.25,9884.35,9740.1,9754.35,211627775,11764
"225",2017-08-18,9865.95,9865.95,9783.65,9837.4,253931517,15636.16
"226",2017-08-17,9945.55,9947.8,9883.75,9904.15,NA,NA
"227",2017-08-16,9825.85,9903.95,9773.85,9897.3,226269013,10815.38
"228",2017-08-14,9755.75,9818.3,9752.1,9794.15,201613585,9486.82
"229",2017-08-11,9712.15,9771.65,9685.55,9710.8,294732998,13435.56
"230",2017-08-10,9872.85,9892.65,9776.2,9820.25,242820594,12040.13
"231",2017-08-09,9961.15,9969.8,9893.05,9908.05,174395293,8831.72
"232",2017-08-08,10068.35,10083.8,9947,9978.55,209645343,10780.41
"233",2017-08-07,10074.8,10088.1,10046.35,10057.4,141566282,7827.95
"234",2017-08-04,10008.6,10075.25,9988.35,10066.4,184082134,10397.88
"235",2017-08-03,10081.15,10081.15,9998.25,10013.65,198665837,10714.1
"236",2017-08-02,10136.3,10137.85,10054.2,10081.5,166463276,9165.92
"237",2017-08-01,10101.05,10128.6,10065.75,10114.65,190000516,11515.29
